Thema;Nr;Kategorie;Zeitbemerkung;Raum;Nordwert (lat);Ostwert (lon);Title;URL
Klima und Energie;44;Vortrag;"11.30 – 11.50 
14.30 – 14.50";3.113;47.2227169;8.8180562;"Kann die Schweiz klimaneutral
werden ohne fossile
Energie?";
Technik;45;Führung;"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00 
14.30 – 15.00 
15.30 – 16.00";"Gebäude 2
Eingang";47.2235426;8.8177973;"Mit Plasmatechnologie die
Abluft reinigen";
Klima und Energie;46;"Showobjekt mit
Erklärung";permanent;"Zwischen
Gebäude 5
und 6";47.2236662;8.8163761;"Cool Green – Die blaugrüne
Zukunft zur Hitzeminimierung
in Städten";
Klima und Energie;47;Vortrag;"10.30 – 10.50 
11.30 – 11.50 
13.30 – 13.50 
14.30 – 14.50";3.114;47.2227765;8.8181789;"Wie funktioniert eine solare
Trinkwasseraufbereitung?";
Technik;48;Installation;permanent;"Gebäude 4
Foyer";47.2232498;8.8166524;"Event-Kamera: laufe durch
ein Bild und lasse dich
einbauen";
Studieren in Rapperswil-Jona;49;"Electrical and
Computer
Engineering";"10.30 – 10.50 
11.30 – 11.50 
13.30 – 13.50 
14.30 – 14.50 
15.30 – 15.50";4.115;47.2231529;8.8167603;"Mit Spiel und Spass die
Elektrotechnik kennenlernen";
Technik;50;Vorführung;"10.30 – 10.40 
11.30 – 11.40 
13.30 – 13.40 
14.30 – 14.40 
15.30 – 15.40";8.041;47.2233905;8.8185792;"Indoor Navigation:
Erkennen von Objekten im
Innenraum";
Technik;51;Showvorlesung;"10.30 – 10.50 
14.30 – 14.50";4.114;47.2231070;8.8166658;"So funktioniert Augmented
Reality – Die Kombination
aus Realität und Animation";
Technik;52;"Ausbildung zum
Anfassen";permanent;2.101;47.2236324;8.8177350;"Electronics4you: Baue
deinen eigenen elektronischen
Kreisel";
Technik;53;"Showobjekt mit
Erklärung";permanent;"Vor Gebäude
8";47.2231562;8.8182996;Mobiles Funkmesslabor;
Informatik;54;Vortrag;"10.30 – 10.40 
13.30 – 13.40";1.219;47.2232585;8.8179804;"Computer-Netze auf
Knopfdruck";
Kinder- und Jugendprogramm;55;"Spielerisch die
OST erleben";"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00 
14.30 – 15.00 
15.30 – 16.00";"Zwischen
Gebäude 1
und 5";47.2237212;8.8170674;"Goldwaschen, wer findet
die Nuggets?";
Studieren in Rapperswil-Jona;56;Wirtschaftsingenieurwesen;permanent;3.117;47.2227756;8.8175888;"Die abwechslungsreiche
Arbeitswelt kennenlernen
und selber erleben";
Technik;57;Vorführung;permanent;4.116;47.2232038;8.8168525;"Computertechnik hebt ab
– berührungslos schwebende
Objekte im Raum";
Informatik;58;Vortrag;"10.30 – 10.50 
11.30 – 11.50 
13.30 – 13.50 
14.30 – 14.50 
15.30 – 15.50";1.277;47.2235454;8.8170034;Hacking for beginners;
Kinder- und Jugendprogramm;59;"Spielerisch die
OST erleben";permanent;6.002;47.2234821;8.8159657;"Führe eine Kugel durch ein
Labyrinth";
Technik;60;Showvorlesung;"10.30 – 11.15 
11.30 – 12.15 
13.30 – 14.15 
14.30 – 15.15";2.106b;47.2237453;8.8183834;"Mikroelektronik: Winzige
Wunderwerke mit gigantischer
Wirkung";
Kinder- und Jugendprogramm;61;"Spielerisch die
OST erleben";"10.30 – 11.15 
11.30 – 12.15 
13.30 – 14.15 
14.30 – 15.15";6.006;47.2237459;8.8160516;"61 Roboter selber bauen und
programmieren";
Technik;62;"Ausbildung zum
Anfassen";permanent;6.002;47.2234857;8.8159791;Sensorik zum Anfassen;
Kinder- und Jugendprogramm;63;"Spielerisch die
OST erleben";permanent;6.002;47.2235077;8.8159644;"Mit Ultraschall-Sensoren
durch ein Labyrinth";
Technik;64;"Ausbildung zum
Anfassen";"10.30 – 11.15 
11.30 – 12.15 
13.30 – 14.15 
14.30 – 15.15";3.117;47.2227837;8.8176039;"Entwickle ein Legoschiff
mit moderner Entwicklungsmethodik";
Technik;65;Vortrag;"10.30 – 11.30 
11.30 – 12.30 
13.30 – 14.30 
14.30 – 15.30";1.255;47.2228948;8.8177611;"Mobile Robotersysteme
für Such- und Rettungseinsätze";
Klima und Energie;66;Vortrag;"10.30 – 10.50 
11.30 – 11.50 
13.30 – 13.50 
14.30 – 14.50 
15.30 – 15.50";3.011;47.2226508;8.8179626;"Unendliche Produkte ohne
Abfall? Kreislaufwirtschaft
verstehen und erleben.
(Die Ausstellung wird permanent
angeboten.)";
Studieren in Rapperswil-Jona;67;Landschaftsarchitektur;"10.30 – 11.00 
14.30 – 15.00";1.207;47.2236902;8.8174215;"Mit Parks und Freiflächen
unsere grünen Lungen
stärken";
Architektur, Bau, Landschaft, Raum;68;Führung;"10.30 – 11.30 
14.30 – 15.30";"Gebäude 4
Eingang";47.2233300;8.8168690;"Führung durch den
Campus-Garten";
Architektur, Bau, Landschaft, Raum;69;Führung;"10.30 – 11.30 
14.30 – 15.30";"Gebäude 5
Eingang";47.2235720;8.8168002;"Einblick in die Gartenkunstgeschichte
der Schweiz
– Führung durch das Archiv
für Schweizer Landschaftsarchitektur
ASLA";
Klima und Energie;70;"Spielerisch die
OST erleben";permanent;"Zwischen
Gebäude 2
und 8";47.2233028;8.8180860;"Solarspringbrunnen: Mit
Sonnenenergie einen Ping-
Pongball tanzen lassen";
Studieren in Rapperswil-Jona;71;"Stadt-, Verkehrsund
Raumplanung";"11.30 – 12.00 
14.30 – 15.00";5.001;47.2237132;8.8166343;"Urbane und ländliche Räume
lebenswert gestalten";
Studieren in Rapperswil-Jona;72;Bauingenieurwesen;"11.30 – 12.00 
15.30 – 16.00";1.205;47.2237341;8.8173672;"Mit Bauwerken unsere
Lebenswelt nachhaltig
prägen";
Alumni Stand;73;Alumni;permanent;"Gebäude 4
Eingangsfoyer";47.2232767;8.8167486;alumniOST-Corner;
Kinder- und Jugendprogramm;74;Kinderprogramm;permanent;"Vor Gebäude
8";47.2230302;8.8181990;Hüpfburg;
Kinder- und Jugendprogramm;75;Kinderprogramm;permanent;"Vor Gebäude
8";47.2230839;8.8183613;Kinderschminken;
Kinder- und Jugendprogramm;76;Kinderprogramm;11.30 – 15.30;Campus RJ;47.2232850;8.8163265;Ballonkünstler;
Technik;77;"Ausbildung zum
Anfassen";permanent;"Gebäude 1
Foyer Nord";47.2235661;8.8172016;"Luftströmungen erleben
und sichtbar machen";
Kinder- und Jugendprogramm;77;"Spielerisch die
OST erleben";permanent;"Gebäude 1
Foyer Nord";47.2235596;8.8171962;"Wie baue ich ein Windrad
aus PET-Flaschen?";
Künstliche Intelligenz;78;Vorführung;permanent;"Gebäude 1
Foyer Nord";47.2238564;8.8176401;Mit KI in neue Welten;
Studieren in Rapperswil-Jona;79;"Master of
Science in Engineering
(MSE)";permanent;3.117;47.2227821;8.8175177;"Ein Masterabschluss öffnet
Türen";
Wirtschaft;80;Showvorlesung;"10.30 – 11.00 
11.30 – 12.00";1.201;47.2236761;8.8172039;"Navigieren in der Digitalen
Welt – Was Digitalverantwortung
heisst";
Studierendenparty;81;Abendprogramm;permanent;Campus RJ;47.2229515;8.8175512;Studierendenparty;
